COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2122,BIO G510,APPL OF COMP AND STATS IN,-,-,5,1,KAVI DEVRAJ,G102,T Th,4,03-Dec,FN
,,BIOLOGY,,,,,Kavi Devraj,G102,M,7,,
,,Practical,,,,,Kavi Devraj,LAB,F,8 9,,
,,,,,,,Mohammad Mehaboob Subhani Mustafa,,,,,
,,,,,,,Poosala Ramya Sri,,,,,
,,,,,,,Teena Chandna,,,,,
,,,,,,,Kavi Devraj,LAB,Th,7 8,,
,,,,,,,Mohammad Mehaboob Subhani Mustafa,,,,,
,,,,,,,Poosala Ramya Sri,,,,,
,,,,,,,Teena Chandna,,,,,
71,BIO G512,MOLEC MECH OF GENE EXPRE,3,2,5,1,GIREESHA T MOHANNATH,G103,M W F,4,04-Dec,FN
,,,,,,,Vivek Sharma,,,,,
,,Practical,,,,,Gireesha T Mohannath,A124,Th F,7 8,,
,,,,,,,Abirami T S,,,,,
,,,,,,,B Aravind,,,,,
,,,,,,,Swati,,,,,
,,,,,,,Vivek Sharma,,,,,
392,BIO G514,MOLECULAR IMMUNOLOGY,-,-,5,1,TRINATH JAMMA,G105,M W F,5,05-Dec,AN
,,Practical,,,,,Trinath Jamma,A123,T Th,2 3,,
,,,,,,,Ashna Fathima,,,,,
,,,,,,,Kodam Pradeep,,,,,
,,,,,,,Manali chindarkar,,,,,
2008,BIO G524,ANIMAL CELL TECHNOLOGY,3,2,5,1,PIYUSH KHANDELIA,G103,T Th,4,06-Dec,FN
,,,,,,,Piyush Khandelia,G103,M,7,,
,,Practical,,,,,Piyush Khandelia,A121,M W,2 3,,
,,,,,,,Jayasree P J,,,,,
,,,,,,,Kottam geetha lakshmi,,,,,
,,,,,,,Suryansh Sengar,,,,,
2007,BIO G525,ENVIR BIOTECH & WASTE,3,2,5,1,P SANKAR GANESH,G103,M W F,5,09-Dec,FN
,,M    G  M   T           Practical,,,,,P Sankar Ganesh,A002,M W,8 9,,
,,,,,,,Hemapriya S,,,,,
,,,,,,,Maddipatla Naga sai karthik,,,,,
,,,,,,,Pavithra Pari,,,,,
2168,BIO G561,ADV RECOMBINANT DNA TECH,3,2,5,1,NISHITH GUPTA,G103,T Th,5,11-Dec,AN
,,,,,,,Soumyananda Chakraborti,,,,,
,,,,,,,Nishith Gupta,G103,W,10,,
,,,,,,,Soumyananda Chakraborti,,,,,
,,Practical,,,,,Nishith Gupta,A124,T Th,9 10,,
,,,,,,,Devika.P,,,,,
,,,,,,,Lakesh Kumar Sahoo,,,,,
,,,,,,,Namita Pandey,,,,,
2017,BIO G651,PROTEIN & ENZYME BIOENGG,3,2,5,1,KIRTIMAAN SYAL,G102,M W F,4,10-Dec,FN
,,,,,,,Sourav Chowdhury,,,,,
,,Practical,,,,,Kirtimaan Syal,A124,M W,8 9,,
,,,,,,,Devarakonda Yogeshwar,,,,,
,,,,,,,Keith Joseph Henderson,,,,,
,,,,,,,Vaibhav jain,,,,,
1372,BIOT F346,GENOMICS,3,-,3,1,AMARTYA SANYAL,G102,T Th,3,13-Dec,AN
,,,,,,,Amartya Sanyal,G102,F,10,,
549,BITS C790T,INDEPENDENT STUDY,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
596,BITS C791T,TEACHING PRACTICE I,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
