COM CODE,COURSE NO.,COURSE TITLE,CREDITS - L,CREDITS - P,CREDITS - U,SEC,INSTRUCTOR-IN-CHARGE/INSTRUCTOR,ROOM,DAYS,HOURS,COMPRE DATE,SESSION
2001,BITS F437,STEYCSTHENMICSAL COMMUNICATION,3,-,3,1,SHAKUL TEWARI,F101,M W F,1,02-Dec,FN
2434,BITS F452,BLOCKCHAIN TECHNOLOGY,3,-,3,1,JAY KAMLESH DAVE,F106,T Th,2,16-Dec,AN
,,,,,,,Asmita Biswas,,,,,
,,,,,,,Chaitra C R,,,,,
,,,,,,,S Rasagna Vakkalanka,,,,,
,,,,,,,Jay Kamlesh Dave,F106,W,7,,
,,,,,,,Asmita Biswas,,,,,
,,,,,,,Chaitra C R,,,,,
,,,,,,,S Rasagna Vakkalanka,,,,,
1338,BITS F463,CRYPTOGRAPHY,3,-,3,1,SABYASACHI DEY,J107,M W,10,09-Dec,FN
,,,,,,,Sabyasachi Dey,J107,Th,6,,
1339,BITS F464,MACHINE LEARNING,3,-,3,1,CHITTARANJAN HOTA,F106,M W F,3,11-Dec,FN
,,,,,,,Mekala Kiran,,,,,
,,,,,,,Sandeep Ravikanti,,,,,
,,,,,,,Soriful Momin Nazrul Haque Momin,,,,,
1379,BITS F467,BIOETHICS AND BIOSAFETY,3,-,3,1,NAGA MOHAN K,G207,T Th,2,16-Dec,AN
,,,,,,,Satyanarayana Subrahmanyam,,,,,
,,,,,,,Naga Mohan K,G207,W,7,,
,,,,,,,Satyanarayana Subrahmanyam,,,,,
547,BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
754,BITS G529,RESEARCH PROJECT I,-,-,6,1,ALIVELU MANGA PARIMI,,,,,
755,BITS G539,RESEARCH PROJECT II,-,-,6,1,ALIVELU MANGA PARIMI,,,,,
2003,BITS G540,RESEARCH PRACTICE,-,-,4,1,ALIVELU MANGA PARIMI,,,,,
9,BITS G553,REAL TIME SYSTEMS,-,-,5,1,SOUMYA J,I114,M W F,4,11-Dec,FN
,,Practical,,,,,Soumya J,J105,F,6 7,,
,,,,,,,Mekala Bindu Bhargavi,,,,,
